ED,YEAR,ELECTION,CANDIDATE,PARTY,Value
NIA 19 (25),2021,Primary,Le'Candice M. Durham,Democratic,5
ELL 2 (FIL 5),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 3 (8, 9)",2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 14 ,2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 15 (FIL 1),2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 16,2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 18 (FIL 3),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 25 (26),2021,Primary,"Blank, Void, & Scattering",N/A,1
"ELL 29 (30, 31)",2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 33 (FIL 8),2021,Primary,"Blank, Void, & Scattering",N/A,2
"ELL 34 (35, 36)",2021,Primary,"Blank, Void, & Scattering",N/A,1
"FIL 9 (LOV 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 10 (15, 18)",2021,Primary,"Blank, Void, & Scattering",N/A,3
FIL 11 (35),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 12 (13),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 14 (16),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 17 (LOV 23)    ,2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 19,2021,Primary,"Blank, Void, & Scattering",N/A,2
"FIL 20 (22, 34)",2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 21 (24),2021,Primary,"Blank, Void, & Scattering",N/A,1
"FIL 23 (26, 27)",2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 25 (28),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 29 (30),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 31,2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 32 (33) ,2021,Primary,"Blank, Void, & Scattering",N/A,0
NIA 19 (25),2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 2 (FIL 5),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 3 (8, 9)",2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 14 ,2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 15 (FIL 1),2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 16,2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 18 (FIL 3),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 25 (26),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 29 (30, 31)",2021,Primary,"Blank, Void, & Scattering",N/A,2
ELL 33 (FIL 8),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 34 (35, 36)",2021,Primary,"Blank, Void, & Scattering",N/A,3
"FIL 9 (LOV 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 10 (15, 18)",2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 11 (35),2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 12 (13),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 14 (16),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 17 (LOV 23)    ,2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 19,2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 20 (22, 34)",2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 21 (24),2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 23 (26, 27)",2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 25 (28),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 29 (30),2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 31,2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 32 (33) ,2021,Primary,"Blank, Void, & Scattering",N/A,0
NIA 19 (25),2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 1,2019,Primary,"Blank, Void & Scattering",N/A,0
"FIL 2 (4 ,6, 7)",2019,Primary,"Blank, Void & Scattering",N/A,2
FIL 3,2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 5,2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 8,2019,Primary,"Blank, Void & Scattering",N/A,2
FIL 9,2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 10,2019,Primary,"Blank, Void & Scattering",N/A,4
FIL 11 (35),2019,Primary,"Blank, Void & Scattering",N/A,4
FIL 12 (13),2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 14 ,2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 15 (18),2019,Primary,"Blank, Void & Scattering",N/A,1
FIL 16,2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 17,2019,Primary,"Blank, Void & Scattering",N/A,1
FIL 19,2019,Primary,"Blank, Void & Scattering",N/A,4
"FIL 20 (22, 34)",2019,Primary,"Blank, Void & Scattering",N/A,1
FIL 21 (24),2019,Primary,"Blank, Void & Scattering",N/A,0
"FIL 23 (26, 27)",2019,Primary,"Blank, Void & Scattering",N/A,6
FIL 25 (28),2019,Primary,"Blank, Void & Scattering",N/A,0
FIL 29 (30),2019,Primary,"Blank, Void & Scattering",N/A,11
FIL 31,2019,Primary,"Blank, Void & Scattering",N/A,3
FIL 32 (33),2019,Primary,"Blank, Void & Scattering",N/A,2
FIL 1,2019,Primary,Gerhardt J. Yaskow,Democratic,34
"FIL 2 (4 ,6, 7)",2019,Primary,Gerhardt J. Yaskow,Democratic,61
FIL 3,2019,Primary,Gerhardt J. Yaskow,Democratic,9
FIL 5,2019,Primary,Gerhardt J. Yaskow,Democratic,19
FIL 8,2019,Primary,Gerhardt J. Yaskow,Democratic,56
FIL 9,2019,Primary,Gerhardt J. Yaskow,Democratic,0
FIL 10,2019,Primary,Gerhardt J. Yaskow,Democratic,10
FIL 11 (35),2019,Primary,Gerhardt J. Yaskow,Democratic,22
FIL 12 (13),2019,Primary,Gerhardt J. Yaskow,Democratic,33
FIL 14 ,2019,Primary,Gerhardt J. Yaskow,Democratic,62
FIL 15 (18),2019,Primary,Gerhardt J. Yaskow,Democratic,40
FIL 16,2019,Primary,Gerhardt J. Yaskow,Democratic,13
FIL 17,2019,Primary,Gerhardt J. Yaskow,Democratic,2
FIL 19,2019,Primary,Gerhardt J. Yaskow,Democratic,59
"FIL 20 (22, 34)",2019,Primary,Gerhardt J. Yaskow,Democratic,13
FIL 21 (24),2019,Primary,Gerhardt J. Yaskow,Democratic,11
"FIL 23 (26, 27)",2019,Primary,Gerhardt J. Yaskow,Democratic,16
FIL 25 (28),2019,Primary,Gerhardt J. Yaskow,Democratic,15
FIL 29 (30),2019,Primary,Gerhardt J. Yaskow,Democratic,12
FIL 31,2019,Primary,Gerhardt J. Yaskow,Democratic,8
FIL 32 (33),2019,Primary,Gerhardt J. Yaskow,Democratic,7
FIL 1,2019,Primary,Mitch Nowakowski,Democratic,54
"FIL 2 (4 ,6, 7)",2019,Primary,Mitch Nowakowski,Democratic,90
FIL 3,2019,Primary,Mitch Nowakowski,Democratic,32
FIL 5,2019,Primary,Mitch Nowakowski,Democratic,48
FIL 8,2019,Primary,Mitch Nowakowski,Democratic,69
FIL 9,2019,Primary,Mitch Nowakowski,Democratic,3
FIL 10,2019,Primary,Mitch Nowakowski,Democratic,11
FIL 11 (35),2019,Primary,Mitch Nowakowski,Democratic,16
FIL 12 (13),2019,Primary,Mitch Nowakowski,Democratic,115
FIL 14 ,2019,Primary,Mitch Nowakowski,Democratic,30
FIL 15 (18),2019,Primary,Mitch Nowakowski,Democratic,31
FIL 16,2019,Primary,Mitch Nowakowski,Democratic,3
FIL 17,2019,Primary,Mitch Nowakowski,Democratic,2
FIL 19,2019,Primary,Mitch Nowakowski,Democratic,17
"FIL 20 (22, 34)",2019,Primary,Mitch Nowakowski,Democratic,37
FIL 21 (24),2019,Primary,Mitch Nowakowski,Democratic,14
"FIL 23 (26, 27)",2019,Primary,Mitch Nowakowski,Democratic,47
FIL 25 (28),2019,Primary,Mitch Nowakowski,Democratic,22
FIL 29 (30),2019,Primary,Mitch Nowakowski,Democratic,27
FIL 31,2019,Primary,Mitch Nowakowski,Democratic,11
FIL 32 (33),2019,Primary,Mitch Nowakowski,Democratic,13
FIL 1,2019,Primary,Pharoah V. Paige,Democratic,1
"FIL 2 (4 ,6, 7)",2019,Primary,Pharoah V. Paige,Democratic,5
FIL 3,2019,Primary,Pharoah V. Paige,Democratic,0
FIL 5,2019,Primary,Pharoah V. Paige,Democratic,5
FIL 8,2019,Primary,Pharoah V. Paige,Democratic,14
FIL 9,2019,Primary,Pharoah V. Paige,Democratic,26
FIL 10,2019,Primary,Pharoah V. Paige,Democratic,38
FIL 11 (35),2019,Primary,Pharoah V. Paige,Democratic,54
FIL 12 (13),2019,Primary,Pharoah V. Paige,Democratic,7
FIL 14 ,2019,Primary,Pharoah V. Paige,Democratic,1
FIL 15 (18),2019,Primary,Pharoah V. Paige,Democratic,9
FIL 16,2019,Primary,Pharoah V. Paige,Democratic,1
FIL 17,2019,Primary,Pharoah V. Paige,Democratic,0
FIL 19,2019,Primary,Pharoah V. Paige,Democratic,0
"FIL 20 (22, 34)",2019,Primary,Pharoah V. Paige,Democratic,15
FIL 21 (24),2019,Primary,Pharoah V. Paige,Democratic,3
"FIL 23 (26, 27)",2019,Primary,Pharoah V. Paige,Democratic,7
FIL 25 (28),2019,Primary,Pharoah V. Paige,Democratic,7
FIL 29 (30),2019,Primary,Pharoah V. Paige,Democratic,44
FIL 31,2019,Primary,Pharoah V. Paige,Democratic,3
FIL 32 (33),2019,Primary,Pharoah V. Paige,Democratic,10
FIL 1,2019,Primary,Tina Sanders,Democratic,10
"FIL 2 (4 ,6, 7)",2019,Primary,Tina Sanders,Democratic,32
FIL 3,2019,Primary,Tina Sanders,Democratic,9
FIL 5,2019,Primary,Tina Sanders,Democratic,11
FIL 8,2019,Primary,Tina Sanders,Democratic,17
FIL 9,2019,Primary,Tina Sanders,Democratic,12
FIL 10,2019,Primary,Tina Sanders,Democratic,24
FIL 11 (35),2019,Primary,Tina Sanders,Democratic,96
FIL 12 (13),2019,Primary,Tina Sanders,Democratic,3
FIL 14 ,2019,Primary,Tina Sanders,Democratic,2
FIL 15 (18),2019,Primary,Tina Sanders,Democratic,30
FIL 16,2019,Primary,Tina Sanders,Democratic,1
FIL 17,2019,Primary,Tina Sanders,Democratic,0
FIL 19,2019,Primary,Tina Sanders,Democratic,1
"FIL 20 (22, 34)",2019,Primary,Tina Sanders,Democratic,63
FIL 21 (24),2019,Primary,Tina Sanders,Democratic,11
"FIL 23 (26, 27)",2019,Primary,Tina Sanders,Democratic,33
FIL 25 (28),2019,Primary,Tina Sanders,Democratic,17
FIL 29 (30),2019,Primary,Tina Sanders,Democratic,43
FIL 31,2019,Primary,Tina Sanders,Democratic,20
FIL 32 (33),2019,Primary,Tina Sanders,Democratic,26
