OBJECTID,GEOID20,ED,FIL,nbhdname,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
568,360290166001002,FIL-034,FIL-034,Broadway Fillmore,117,4,75,1,24,0,5,8,9
569,360290015002002,FIL-020,FIL-020,Broadway Fillmore,22,0,16,0,5,0,1,0,3
571,360290016021008,FIL-020,FIL-020,Broadway Fillmore,39,0,23,0,12,1,2,1,1
572,360290015002000,FIL-020,FIL-020,Broadway Fillmore,38,4,33,0,0,0,0,1,2
575,360290166001001,FIL-034,FIL-034,Broadway Fillmore,101,17,62,2,13,0,0,7,16
576,360290166001000,FIL-026,FIL-014,Broadway Fillmore,93,14,35,2,34,0,2,6,4
580,360290016021006,FIL-022,FIL-022,Broadway Fillmore,34,7,24,0,2,0,1,0,3
581,360290016021004,FIL-023,FIL-023,Broadway Fillmore,58,4,31,0,13,0,2,8,5
582,360290027031009,FIL-026,FIL-030,Broadway Fillmore,75,22,6,4,33,0,3,7,1
583,360290027031016,FIL-026,FIL-030,Broadway Fillmore,310,40,106,0,147,0,6,11,9
584,360290016021003,FIL-023,FIL-023,Broadway Fillmore,69,2,37,0,0,0,4,26,26
585,360290016021001,FIL-024,FIL-024,Broadway Fillmore,22,14,3,2,0,0,0,3,3
586,360290027043005,FIL-027,FIL-027,Broadway Fillmore,196,14,48,2,128,0,0,4,3
587,360290016011014,FIL-024,FIL-024,Broadway Fillmore,62,31,16,3,5,0,0,7,8
588,360290016021000,FIL-024,FIL-024,Broadway Fillmore,54,7,4,0,40,0,2,1,2
589,360290015002013,FIL-020,FIL-020,Broadway Fillmore,16,0,15,0,1,0,0,0,0
591,360290015001002,FIL-020,FIL-020,Broadway Fillmore,24,2,18,0,0,0,0,4,0
592,360290015001000,FIL-020,FIL-020,Broadway Fillmore,30,1,23,0,2,0,0,4,4
702,360290071042006,ELL-035,FIL-005,Lower West Side,19,5,5,0,0,0,1,8,11
704,360290068022004,FIL-002,FIL-002,Allentown,130,102,15,0,6,0,7,0,8
713,360290016021024,FIL-022,FIL-022,Broadway Fillmore,24,4,16,0,1,0,1,2,2
718,360290005002017,FIL-013,FIL-013,First Ward,15,5,0,0,0,0,10,0,11
720,360290005002016,FIL-013,FIL-013,First Ward,0,0,0,0,0,0,0,0,0
721,360290005002015,FIL-013,FIL-013,First Ward,17,13,1,0,0,1,0,2,3
722,360290005002014,FIL-013,FIL-013,First Ward,24,20,1,0,0,0,0,3,3
737,360290067014001,NIA-025,FIL-029,Elmwood Bryant,422,283,83,3,9,0,10,34,42
741,360290067013001,ELL-014,FIL-001,Elmwood Bryant,243,85,106,3,14,0,17,18,28
746,360290067024002,ELL-015,FIL-033,Elmwood Bryant,205,140,29,3,17,0,3,13,13
800,360290016021009,FIL-020,FIL-020,Broadway Fillmore,46,1,34,0,1,0,10,0,11
801,360290016021023,FIL-022,FIL-022,Broadway Fillmore,48,6,32,0,0,0,5,5,8
806,360290072021006,FIL-008,FIL-008,Central,0,0,0,0,0,0,0,0,0
815,360290165001041,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
816,360290165001011,ELL-024,FIL-007,Central,0,0,0,0,0,0,0,0,0
817,360290165001016,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
818,360290165001037,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
819,360290165001065,FIL-007,FIL-010,Central,4,0,0,0,0,0,1,3,3
820,360290071041005,FIL-005,FIL-002,Lower West Side,61,22,5,1,0,0,28,5,52
821,360290071022004,FIL-005,FIL-008,Lower West Side,134,76,15,1,1,0,20,21,43
