jurisdiction,righttoaddress,rightfromaddress,lefttoaddress,leftfromaddress,nysstreetid,objectid,highwaynumber,leftpostal,shape_length,rightpostal,fcc,acc,completestreetname,speed
12,65,59,58,56,477798742,9672,,14204,18.697149515197001,14204,A31,4,South Street,35
12,65,45,62,44,477792759,7336,,14203,55.273910662996663,14203,A31,4,East Huron Street,35
12,107,83,114,84,477798229,10485,,14204,80.913645326208581,14204,A41,5,Oconnell Avenue,25
12,119,1,124,2,477791275,6474,,14212,385.46935827114328,14212,A40,5,Woltz Avenue,25
12,29,1,36,2,477791544,1005,,14212,93.06641553191119,14212,A41,5,Brownell Street,25
12,309,309,322,318,477797437,10474,,14204,16.374141198145988,14204,A31,4,Louisiana Street,35
12,1,1,2,2,477791771,6495,,14212,4.8089187974077747,14212,A40,5,Geneva Street,25
12,11,1,12,2,477793733,7480,,14203,13.795220186675369,14203,A41,5,East Eagle Street,25
12,199,129,198,136,477791898,6532,,14212,80.442849899792051,14212,A41,5,Grimes Street,25
12,105,63,106,60,477797159,10741,,14210,82.349691559676558,14210,A41,5,Van Rensselaer Street,25
12,,,36,36,513312387,9946,,14202,15.553604084253687,14202,A41,4,Upper Terrace Street,25
12,387,363,388,364,477791988,6514,,14212,74.940072057499805,14212,A41,5,Curtiss Street,25
12,519,473,520,470,477797335,10739,,14210,12.689215893818815,14210,A40,5,Fulton Street,25
12,73,1,72,2,477794528,10818,,14206,137.49659231416518,14210,A41,5,Fritz Alley,25
12,99,1,98,2,477787888,8327,,14213,121.81944128511466,14213,A40,5,Union Place,25
12,199,1,198,2,477793553,6541,,14206,337.98907216001777,14206,A41,5,Msgr Valente Drive,25
12,309,201,306,200,477791802,9120,,14201,214.00887948890718,14201,A40,5,Busti Avenue,25
12,99,41,98,42,477792924,7776,,14202,81.934737791551612,14202,A41,5,Flint Alley,25
12,21,1,100,2,477796310,10907,,14210,99.850927386971492,14210,A41,5,Hardwood Place,25
12,,,,,800031791,7819,,14203,7.8692938056647526,14203,A41,5,Chippewa Street,25
12,69,31,72,36,477797231,10429,,14210,113.18976720572681,14210,A41,5,Red Jacket Street,25
12,99,1,98,2,477794273,6667,,14206,146.69008010083616,14206,A40,5,Olga Place,25
12,479,365,478,366,477787726,1352,,14211,353.52267134285358,14211,A41,5,Goodyear Avenue,25
12,55,27,56,26,477792445,7332,,14203,102.43943820622565,14203,A41,4,East Chippewa Street,25
12,,,,,506020614,7971,,14201,4.4637652266458527,14201,A71,5,Symphony Circle,5
12,57,1,54,2,477787360,8258,,14209,186.8256430418312,14209,A41,5,Northampton Street,25
15,,,,,477791364,9179,,14201,26.446211241512945,14201,A71,6,Walkway,5
12,99,1,98,2,477793049,7709,,14202,132.84865326836837,14202,A41,5,Staats Street,25
12,,,,,477828207,8937,,14201,5.7441535493994715,14201,A41,5,Jersey Street,25
12,13,1,14,2,477797201,10462,,14204,60.884777243959689,14204,A41,5,Hayward Street,25
12,31,1,48,2,477791915,7809,,14201,131.12322296214845,14201,A40,5,South Johnson Park,25
12,45,1,48,2,477794838,10881,,14206,48.876777717084245,14210,A41,5,West Fleming Street,25
12,35,23,,,477793188,9240,,14202,39.647878620048559,14202,A40,5,Harbour Pointe Common,25
12,199,81,198,82,477789749,1055,,14212,85.420732846354596,14212,A41,5,Pullman Place,25
12,91,1,92,2,477788473,6394,,14211,281.07087664842942,14211,A41,4,Moselle Street,25
12,299,139,298,134,477790488,7855,,14201,172.07263603867352,14201,A30,4,Edward Street,35
12,199,93,198,94,477789759,1089,,14212,145.87396203542787,14212,A41,5,Liddell Street,25
12,99,23,98,22,477792171,6500,,14212,170.53753541076367,14212,A40,5,Newton Street,25
12,53,1,50,2,477795711,10927,,14206,175.99792328299279,14206,A40,5,Laux Street,25
12,39,21,40,22,477787731,1355,,14211,85.414927266823383,14211,A41,5,Mckibben Street,25
12,237,219,236,214,477789615,8018,,14201,62.537192933429232,14201,A31,4,Allen Street,35
12,51,1,46,2,477788018,8305,,14222,141.78350424253762,14222,A41,5,Oakland Place,25
12,115,1,122,2,477791883,6520,,14212,194.46829073183019,14212,A41,5,Mohr Street,25
12,,,40,2,507666570,7687,,14202,85.149337223744595,14202,A45,5,Perkins Drive,25
