OBJECTID,GEOID20,ED,name20,2011_district,2024_district,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
1275,3.6029E+14,FIL 21,Block 1009,FILLMORE,FILLMORE,18,1,11,0,0,0,0,6,5
1276,3.6029E+14,FIL 21,Block 1006,FILLMORE,FILLMORE,94,16,64,0,6,0,8,0,15
1277,3.6029E+14,FIL 28,Block 1008,FILLMORE,FILLMORE,52,4,31,1,10,0,5,1,7
1278,3.6029E+14,FIL 25,Block 1019,FILLMORE,FILLMORE,105,34,46,1,13,0,1,10,7
1279,3.6029E+14,FIL 28,Block 1006,FILLMORE,FILLMORE,58,1,44,1,1,0,2,9,4
1280,3.6029E+14,FIL 25,Block 1020,FILLMORE,FILLMORE,82,5,26,0,42,0,2,7,10
1281,3.6029E+14,FIL 25,Block 1018,FILLMORE,FILLMORE,88,7,21,0,35,18,0,7,7
1282,3.6029E+14,FIL 25,Block 5006,FILLMORE,FILLMORE,30,11,14,2,0,0,0,3,2
1283,3.6029E+14,FIL 25,Block 5008,FILLMORE,FILLMORE,21,9,3,0,8,0,0,1,4
1284,3.6029E+14,FIL 25,Block 5009,FILLMORE,FILLMORE,74,22,26,2,5,0,13,6,21
1285,3.6029E+14,FIL 25,Block 5015,FILLMORE,FILLMORE,66,16,36,1,0,0,2,11,14
1286,3.6029E+14,FIL 25,Block 5014,FILLMORE,FILLMORE,86,16,38,1,11,0,18,2,25
1287,3.6029E+14,FIL 25,Block 5013,FILLMORE,FILLMORE,51,13,21,2,5,0,4,6,7
1304,3.6029E+14,FIL 13,Block 2013,FILLMORE,FILLMORE,124,105,1,0,0,0,8,10,12
1305,3.6029E+14,FIL 15,Block 2036,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1306,3.6029E+14,ELL 35,Block 1002,ELLICOTT,FILLMORE,59,21,13,2,8,0,8,7,19
1310,3.6029E+14,ELL 35,Block 1004,ELLICOTT,FILLMORE,23,11,2,1,0,1,0,8,15
1311,3.6029E+14,ELL 35,Block 1003,ELLICOTT,FILLMORE,135,32,12,1,7,0,56,27,85
1312,3.6029E+14,ELL 35,Block 2003,ELLICOTT,FILLMORE,100,25,14,2,22,0,19,18,43
1313,3.6029E+14,FIL 7,Block 1008,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1314,3.6029E+14,ELL 2,Block 2000,ELLICOTT,FILLMORE,77,53,5,0,1,0,8,10,10
1315,3.6029E+14,FIL 5,Block 1000,FILLMORE,FILLMORE,106,75,15,2,0,1,4,9,22
1316,3.6029E+14,ELL 2,Block 2001,ELLICOTT,FILLMORE,102,77,2,4,3,0,8,8,18
1355,3.6029E+14,FIL 11,Block 3000,FILLMORE,FILLMORE,95,3,83,1,1,0,1,6,6
1356,3.6029E+14,FIL 11,Block 2002,FILLMORE,FILLMORE,46,4,33,0,7,0,1,1,2
1357,3.6029E+14,FIL 11,Block 2003,FILLMORE,FILLMORE,14,2,7,0,0,0,1,4,2
1358,3.6029E+14,FIL 32,Block 1006,FILLMORE,FILLMORE,17,9,4,0,2,0,2,0,6
1359,3.6029E+14,FIL 11,Block 2001,FILLMORE,FILLMORE,70,0,49,0,7,0,10,4,11
1360,3.6029E+14,FIL 32,Block 1004,FILLMORE,FILLMORE,62,2,35,0,9,0,6,10,7
1362,3.6029E+14,FIL 11,Block 2000,FILLMORE,FILLMORE,66,2,54,0,5,0,4,1,4
1413,3.6029E+14,FIL 18,Block 2000,FILLMORE,FILLMORE,18,10,4,0,0,0,0,4,4
1421,3.6029E+14,FIL 32,Block 1015,FILLMORE,FILLMORE,99,32,39,2,17,0,9,0,11
1423,3.6029E+14,FIL 13,Block 5003,FILLMORE,FILLMORE,26,21,0,0,2,0,3,0,5
1430,3.6029E+14,ELL 35,Block 1001,ELLICOTT,FILLMORE,103,13,27,1,0,0,34,28,73
1431,3.6029E+14,FIL 2,Block 2006,FILLMORE,FILLMORE,68,57,2,0,3,0,5,1,7
1432,3.6029E+14,FIL 21,Block 1010,FILLMORE,FILLMORE,72,32,15,0,16,0,0,9,10
1434,3.6029E+14,FIL 24,Block 1027,FILLMORE,FILLMORE,65,8,46,0,6,0,5,0,5
1435,3.6029E+14,FIL 23,Block 1002,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1439,3.6029E+14,FIL 28,Block 2000,FILLMORE,FILLMORE,211,39,94,2,51,0,9,16,10
1447,3.6029E+14,ELL 2,Block 2002,ELLICOTT,FILLMORE,124,76,13,9,0,0,9,17,26
1448,3.6029E+14,FIL 7,Block 1073,FILLMORE,FILLMORE,3,0,0,0,0,0,2,1,0
1463,3.6029E+14,FIL 2,Block 2003,FILLMORE,FILLMORE,106,83,3,0,0,0,14,6,25
1482,3.6029E+14,FIL 18,Block 1020,FILLMORE,FILLMORE,22,3,18,0,0,0,1,0,0
1495,3.6029E+14,ELL 29,Block 1051,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
1499,3.6029E+14,ELL 24,Block 1018,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
1500,3.6029E+14,ELL 25,Block 1012,ELLICOTT,FILLMORE,6,2,0,0,0,0,1,3,2
1501,3.6029E+14,FIL 7,Block 1072,FILLMORE,FILLMORE,3,2,0,0,0,0,0,1,3
1503,3.6029E+14,FIL 13,Block 1021,FILLMORE,FILLMORE,36,31,0,0,0,0,0,5,7
1504,3.6029E+14,FIL 18,Block 2005,FILLMORE,FILLMORE,55,29,12,0,1,0,10,3,16
1507,3.6029E+14,FIL 2,Block 3002,FILLMORE,FILLMORE,85,73,4,0,3,0,0,5,7
1525,3.6029E+14,FIL 00,Block 1093,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1526,3.6029E+14,ELL 25,Block 1022,ELLICOTT,FILLMORE,15,7,3,0,1,0,0,4,1
1527,3.6029E+14,FIL 10,Block 1101,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1528,3.6029E+14,FIL 7,Block 1058,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1536,3.6029E+14,FIL 19,Block 1014,FILLMORE,FILLMORE,85,47,25,0,1,0,2,10,4
1539,3.6029E+14,FIL 19,Block 1012,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1540,3.6029E+14,FIL 25,Block 5017,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1667,3.6029E+14,ELL 34,Block 1000,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
1668,3.6029E+14,FIL 7,Block 1018,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1669,3.6029E+14,FIL 7,Block 1019,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1670,3.6029E+14,FIL 7,Block 1086,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1671,3.6029E+14,FIL 7,Block 1078,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1672,3.6029E+14,FIL 7,Block 1076,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1674,3.6029E+14,FIL 15,Block 2035,FILLMORE,FILLMORE,20,16,2,0,0,0,0,2,2
1675,3.6029E+14,FIL 15,Block 2033,FILLMORE,FILLMORE,62,52,6,0,0,0,2,2,4
1676,3.6029E+14,FIL 16,Block 1007,FILLMORE,FILLMORE,39,18,8,0,0,0,6,7,10
1688,3.6029E+14,FIL 5,Block 1000,FILLMORE,FILLMORE,266,101,100,6,2,0,42,15,60
1693,3.6029E+14,ELL 8,Block 1002,ELLICOTT,FILLMORE,191,149,13,0,15,0,7,7,4
1712,3.6029E+14,FIL 18,Block 1026,FILLMORE,FILLMORE,6,0,4,0,1,0,0,1,0
1717,3.6029E+14,FIL 11,Block 4006,FILLMORE,FILLMORE,118,4,94,0,15,0,1,4,1
1768,3.6029E+14,FIL 12,Block 2018,FILLMORE,FILLMORE,34,23,3,0,0,0,1,7,7
1776,3.6029E+14,FIL 8,Block 1021,FILLMORE,FILLMORE,83,70,0,0,2,2,1,8,10
1779,3.6029E+14,ELL 24,Block 1020,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
1780,3.6029E+14,FIL 32,Block 1007,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
1784,3.6029E+14,ELL 2,Block 1004,ELLICOTT,FILLMORE,76,43,12,0,4,0,8,9,16
1789,3.6029E+14,FIL 25,Block 5005,FILLMORE,FILLMORE,113,19,49,0,21,0,11,13,18
1790,3.6029E+14,FIL 7,Block 1061,FILLMORE,FILLMORE,3,0,0,2,0,0,0,1,0
1791,3.6029E+14,FIL 15,Block 2027,FILLMORE,FILLMORE,21,10,7,0,0,0,0,4,4
1793,3.6029E+14,FIL 8,Block 1004,FILLMORE,FILLMORE,26,16,2,0,0,0,0,8,7
1794,3.6029E+14,FIL 8,Block 1005,FILLMORE,FILLMORE,175,153,6,0,6,0,3,7,9
1798,3.6029E+14,FIL 32,Block 1014,FILLMORE,FILLMORE,135,28,88,0,11,0,2,6,3
1799,3.6029E+14,FIL 28,Block 1003,FILLMORE,FILLMORE,104,0,75,3,1,0,22,3,25
1800,3.6029E+14,FIL 25,Block 5000,FILLMORE,FILLMORE,150,49,94,0,0,0,4,3,6
1873,3.6029E+14,FIL 4,Block 2010,FILLMORE,FILLMORE,112,74,17,6,3,0,5,7,9
1874,3.6029E+14,FIL 13,Block 1013,FILLMORE,FILLMORE,43,31,6,2,1,0,0,3,2
1877,3.6029E+14,ELL 24,Block 1010,ELLICOTT,FILLMORE,20,12,8,0,0,0,0,0,0
1878,3.6029E+14,ELL 25,Block 1005,ELLICOTT,FILLMORE,38,30,4,0,0,0,0,4,4
1882,3.6029E+14,FIL 20,Block 1001,FILLMORE,FILLMORE,17,1,16,0,0,0,0,0,0
